FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
4410382	-10.8581	4.06433	-0.907815	3.46623	-2.31626	-0.475769	-0.700444	-3.30052	0.73178	2.19752
1199912	-12.2008	4.33612	-3.78761	8.19432	8.00003	-1.31965	1.84938	1.24527	2.01714	-1.49651
5592379	-11.4351	4.62713	-1.31099	3.77508	6.25399	-2.15718	1.77523	0.00667489	2.5662	1.63112
1562364	-12.5793	5.97757	-0.688545	5.54717	13.2552	0.301404	-0.431729	-1.63565	1.27596	-1.39449
1416716	-10.2511	3.94121	-3.5806	0.0154176	-2.4142	-1.5685	2.21882	-2.34175	-7.32997	1.65478
5656394	-10.6231	4.34029	-1.32916	0.879455	-6.03166	-2.98962	-0.929813	-0.923702	1.639	3.09677
5385465	152.496	-264.425	-126.333	-14.5521	0.351264	-8.29055	0.710795	2.59244	-1.07875	1.73833
3081859	-11.5907	5.16274	-3.28934	0.0709522	-1.55273	-0.702511	4.11327	-4.74544	-6.09853	3.98878
4724521	-13.9527	2.63314	-1.62789	-0.791643	1.57038	-1.85049	0.0562115	-2.27547	2.89493	-2.94393
3429476	-12.0633	4.38264	-0.14391	3.09462	13.0311	-0.728319	-0.849727	1.45973	7.02925	-0.997376
3076017	-14.6056	6.13152	-0.614651	4.88435	-3.59348	0.0132792	-0.25772	-2.14501	-3.09341	5.40036
4876657	376.864	72.4389	-3.6059	3.78965	-1.6313	0.220834	-2.04932	-0.0646665	-0.557712	7.01556
1249181	-9.86225	3.15352	-2.04409	0.635904	-1.09744	0.531403	0.448164	3.34291	-0.750799	0.526129
5910458	-14.4095	5.50632	-2.73317	0.8363	-8.34169	-2.57337	3.06429	-1.33301	3.3144	-0.118655
5962209	-10.6389	4.74791	-3.56955	1.46278	1.90841	-2.25137	1.63518	-0.328687	-2.65461	0.803796
1306598	-11.6781	4.61548	-1.89853	3.21058	1.32349	-0.453813	2.00196	0.0736577	-6.01499	1.87669
5100222	-13.2496	5.07773	-2.01832	0.186904	0.0715732	-1.75819	2.02825	-6.78167	-0.903113	0.428152
1572124	-11.989	4.09215	-1.77312	3.02659	-3.66621	-0.937128	0.812467	-0.782259	-5.44812	2.01138
4095918	-10.8445	4.62047	-2.99633	-1.57502	-8.78508	0.674191	0.262093	-2.48416	7.58307	2.31498
1635329	-12.4974	3.98768	-0.327838	-1.39654	-1.75375	-1.47168	-3.26156	2.91077	6.34973	1.52287
1763635	-14.2387	0.989681	-3.38286	10.9204	22.4807	3.01533	0.48313	3.01173	3.16329	-1.69539
1536597	-12.7906	4.44329	-1.49052	1.49384	3.09113	-2.89108	0.443808	-3.48369	-2.84187	-0.0806352
3239530	-11.9528	4.11949	-1.26142	0.782154	-5.42239	2.95326	-0.940986	-2.68232	-0.0664208	-3.75123
1443055	-15.5232	2.52072	-3.37723	2.4983	2.33864	-1.00162	-1.53034	0.920421	1.73694	-0.586642
1408542	-14.7588	5.32203	-2.6755	1.46057	-7.34814	-1.45235	1.66981	-2.24047	-0.160945	3.23246
5317465	-12.6096	4.75852	-4.22823	-1.07818	-5.32372	-3.89555	2.41665	-1.41687	-3.6329	-1.53996
4671954	-12.4836	5.65273	-2.97237	-1.57169	-2.11797	-1.29276	-0.68082	3.27929	-4.65788	-1.60078
5809761	-14.5097	3.94997	-0.997931	0.344604	-2.41118	1.35011	0.233245	-0.909215	-3.95661	-4.18711
1057836	-14.8592	5.35978	-2.74509	1.56456	7.87598	1.08789	-2.92446	1.21871	-0.394827	-2.98161
1468374	-14.037	2.80303	-2.75111	1.46928	-4.97171	-0.460686	-1.42863	-1.02127	-2.63586	0.287981
5329051	-13.8411	6.303	-3.99774	1.96907	1.74804	0.862397	-0.597779	-0.670681	4.47257	-1.14717
2913711	-10.1253	4.88397	0.112357	3.57838	5.86941	-1.46207	0.360815	-3.67655	-0.349376	3.34836
1373683	-10.5672	1.36338	0.483288	-0.498319	-7.84024	0.389575	-2.69022	2.46076	-0.603687	1.9713
1683002	-12.4157	3.6151	-1.03362	0.105462	-5.42105	2.0125	5.19777	0.700569	2.12717	0.416993
1427037	-12.477	2.40548	-0.748697	-0.0991216	-3.12378	0.354479	-1.1963	-1.59322	-3.3307	1.76126
3536764	-16.2326	2.05279	-2.85362	10.7004	21.3814	1.29721	-0.168486	-0.0975923	3.97509	1.26085
3744438	-10.8176	5.15278	-0.480319	3.25824	4.92493	0.315647	0.85909	0.677655	1.65798	-3.43031
3272980	-12.2854	4.17958	-2.32634	8.52268	16.1451	-0.175363	1.15274	0.21739	4.10784	-4.01713
